dataset,ratio_evaluation,evaluation_method,feature_selection,learner,accuracy,f1_score,precision,recall,top 1,top 2,top 3,top 4,top 5,top 6,top 7,top 8,top 9,top 10
turma_1,1.0,xvalidation (k=10),anova (5),random_forest,0.8951219512195122,0.7650273224043715,0.8433734939759037,0.7,activities_incomplete,grades_between_0_2_5,activities_complete_majority,activities_incomplete_majority,grades_average,,,,,
turma_1,1.0,xvalidation (k=10),anova (5),knn,0.8536585365853658,0.6666666666666665,0.75,0.6,activities_incomplete,grades_between_0_2_5,activities_complete_majority,activities_incomplete_majority,grades_average,,,,,
turma_1,1.0,xvalidation (k=10),anova (5),tree,0.8780487804878049,0.761904761904762,0.7272727272727273,0.8,activities_incomplete,grades_between_0_2_5,activities_complete_majority,activities_incomplete_majority,grades_average,,,,,
turma_1,1.0,xvalidation (k=10),anova (5),naive_bayes,0.8536585365853658,0.7272727272727272,0.6666666666666666,0.8,activities_incomplete,grades_between_0_2_5,activities_complete_majority,activities_incomplete_majority,grades_average,,,,,
turma_1,1.0,xvalidation (k=10),anova (5),logistic_regression,0.8780487804878049,0.761904761904762,0.7272727272727273,0.8,activities_incomplete,grades_between_0_2_5,activities_complete_majority,activities_incomplete_majority,grades_average,,,,,
turma_1,1.0,xvalidation (k=10),anova (5),neural_network,0.8219512195121951,0.6368159203980099,0.6336633663366337,0.64,activities_incomplete,grades_between_0_2_5,activities_complete_majority,activities_incomplete_majority,grades_average,,,,,
turma_1,1.0,xvalidation (k=10),anova (5),gradient_boosting,0.9146341463414634,0.8108108108108107,0.8823529411764706,0.75,activities_incomplete,grades_between_0_2_5,activities_complete_majority,activities_incomplete_majority,grades_average,,,,,
turma_1,1.0,xvalidation (k=10),anova (5),svm,0.8780487804878049,0.761904761904762,0.7272727272727273,0.8,activities_incomplete,grades_between_0_2_5,activities_complete_majority,activities_incomplete_majority,grades_average,,,,,
turma_1,1.0,"random (n=10, test=33%)",anova (5),random_forest,0.865,0.7157894736842105,0.7531645569620253,0.6819484240687679,activities_incomplete,grades_between_0_2_5,activities_complete_majority,activities_incomplete_majority,grades_average,,,,,
turma_1,1.0,"random (n=10, test=33%)",anova (5),knn,0.8685714285714285,0.7253731343283581,0.7431192660550459,0.7084548104956269,activities_incomplete,grades_between_0_2_5,activities_complete_majority,activities_incomplete_majority,grades_average,,,,,
turma_1,1.0,"random (n=10, test=33%)",anova (5),tree,0.8557142857142858,0.7089337175792507,0.7192982456140351,0.6988636363636364,activities_incomplete,grades_between_0_2_5,activities_complete_majority,activities_incomplete_majority,grades_average,,,,,
turma_1,1.0,"random (n=10, test=33%)",anova (5),naive_bayes,0.8042857142857143,0.6799065420560748,0.59026369168357,0.8016528925619835,activities_incomplete,grades_between_0_2_5,activities_complete_majority,activities_incomplete_majority,grades_average,,,,,
turma_1,1.0,"random (n=10, test=33%)",anova (5),logistic_regression,0.87,0.736231884057971,0.736231884057971,0.736231884057971,activities_incomplete,grades_between_0_2_5,activities_complete_majority,activities_incomplete_majority,grades_average,,,,,
turma_1,1.0,"random (n=10, test=33%)",anova (5),neural_network,0.8657142857142858,0.7235294117647059,0.7299703264094956,0.717201166180758,activities_incomplete,grades_between_0_2_5,activities_complete_majority,activities_incomplete_majority,grades_average,,,,,
turma_1,1.0,"random (n=10, test=33%)",anova (5),gradient_boosting,0.8607142857142858,0.7004608294930875,0.7215189873417721,0.6805970149253732,activities_incomplete,grades_between_0_2_5,activities_complete_majority,activities_incomplete_majority,grades_average,,,,,
turma_1,1.0,"random (n=10, test=33%)",anova (5),svm,0.8107142857142857,0.6262341325811001,0.6686746987951807,0.5888594164456233,activities_incomplete,grades_between_0_2_5,activities_complete_majority,activities_incomplete_majority,grades_average,,,,,
turma_1,1.0,holdout (33/67),anova (5),random_forest,0.7923076923076923,0.5846153846153846,0.5428571428571428,0.6333333333333333,grades_between_0_2_5,activities_incomplete_majority,activities_complete_majority,activities_incomplete,grades_average,,,,,
turma_1,1.0,holdout (33/67),anova (5),knn,0.7692307692307693,0.5714285714285715,0.5,0.6666666666666666,grades_between_0_2_5,activities_incomplete_majority,activities_complete_majority,activities_incomplete,grades_average,,,,,
turma_1,1.0,holdout (33/67),anova (5),tree,0.8461538461538461,0.5,1.0,0.3333333333333333,grades_between_0_2_5,activities_incomplete_majority,activities_complete_majority,activities_incomplete,grades_average,,,,,
turma_1,1.0,holdout (33/67),anova (5),naive_bayes,0.6923076923076923,0.5,0.4,0.6666666666666666,grades_between_0_2_5,activities_incomplete_majority,activities_complete_majority,activities_incomplete,grades_average,,,,,
turma_1,1.0,holdout (33/67),anova (5),logistic_regression,0.6153846153846154,0.4444444444444444,0.3333333333333333,0.6666666666666666,grades_between_0_2_5,activities_incomplete_majority,activities_complete_majority,activities_incomplete,grades_average,,,,,
turma_1,1.0,holdout (33/67),anova (5),neural_network,0.7692307692307693,0.5714285714285715,0.5,0.6666666666666666,grades_between_0_2_5,activities_incomplete_majority,activities_complete_majority,activities_incomplete,grades_average,,,,,
turma_1,1.0,holdout (33/67),anova (5),gradient_boosting,0.8461538461538461,0.6666666666666666,0.6666666666666666,0.6666666666666666,grades_between_0_2_5,activities_incomplete_majority,activities_complete_majority,activities_incomplete,grades_average,,,,,
turma_1,1.0,holdout (33/67),anova (5),svm,0.8461538461538461,0.6666666666666666,0.6666666666666666,0.6666666666666666,grades_between_0_2_5,activities_incomplete_majority,activities_complete_majority,activities_incomplete,grades_average,,,,,
turma_1,1.0,xvalidation (k=10),anova (10),random_forest,0.875609756097561,0.7213114754098361,0.7951807228915663,0.66,activities_incomplete,grades_between_0_2_5,activities_complete_majority,activities_incomplete_majority,grades_average,grades_below_5,grades_below_mean,grades_between_7_5_10,attendance_below_mean,missing
turma_1,1.0,xvalidation (k=10),anova (10),knn,0.8292682926829268,0.588235294117647,0.7142857142857143,0.5,activities_incomplete,grades_between_0_2_5,activities_complete_majority,activities_incomplete_majority,grades_average,grades_below_5,grades_below_mean,grades_between_7_5_10,attendance_below_mean,missing
turma_1,1.0,xvalidation (k=10),anova (10),tree,0.8780487804878049,0.7368421052631577,0.7777777777777778,0.7,activities_incomplete,grades_between_0_2_5,activities_complete_majority,activities_incomplete_majority,grades_average,grades_below_5,grades_below_mean,grades_between_7_5_10,attendance_below_mean,missing
turma_1,1.0,xvalidation (k=10),anova (10),naive_bayes,0.7560975609756098,0.6153846153846154,0.5,0.8,activities_incomplete,grades_between_0_2_5,activities_complete_majority,activities_incomplete_majority,grades_average,grades_below_5,grades_below_mean,grades_between_7_5_10,attendance_below_mean,missing
turma_1,1.0,xvalidation (k=10),anova (10),logistic_regression,0.7804878048780488,0.5714285714285713,0.5454545454545454,0.6,activities_incomplete,grades_between_0_2_5,activities_complete_majority,activities_incomplete_majority,grades_average,grades_below_5,grades_below_mean,grades_between_7_5_10,attendance_below_mean,missing
turma_1,1.0,xvalidation (k=10),anova (10),neural_network,0.7634146341463415,0.46408839779005523,0.5185185185185185,0.42,activities_incomplete,grades_between_0_2_5,activities_complete_majority,activities_incomplete_majority,grades_average,grades_below_5,grades_below_mean,grades_between_7_5_10,attendance_below_mean,missing
turma_1,1.0,xvalidation (k=10),anova (10),gradient_boosting,0.8560975609756097,0.7064676616915423,0.7029702970297029,0.71,activities_incomplete,grades_between_0_2_5,activities_complete_majority,activities_incomplete_majority,grades_average,grades_below_5,grades_below_mean,grades_between_7_5_10,attendance_below_mean,missing
turma_1,1.0,xvalidation (k=10),anova (10),svm,0.7560975609756098,0.4444444444444445,0.5,0.4,activities_incomplete,grades_between_0_2_5,activities_complete_majority,activities_incomplete_majority,grades_average,grades_below_5,grades_below_mean,grades_between_7_5_10,attendance_below_mean,missing
turma_1,1.0,"random (n=10, test=33%)",anova (10),random_forest,0.865,0.7069767441860465,0.7378640776699029,0.6785714285714286,activities_incomplete,grades_between_0_2_5,activities_complete_majority,activities_incomplete_majority,grades_average,grades_below_5,grades_below_mean,grades_between_7_5_10,attendance_below_mean,missing
turma_1,1.0,"random (n=10, test=33%)",anova (10),knn,0.8414285714285714,0.6476190476190476,0.7010309278350515,0.6017699115044248,activities_incomplete,grades_between_0_2_5,activities_complete_majority,activities_incomplete_majority,grades_average,grades_below_5,grades_below_mean,grades_between_7_5_10,attendance_below_mean,missing
turma_1,1.0,"random (n=10, test=33%)",anova (10),tree,0.8421428571428572,0.6605222734254993,0.7166666666666667,0.6125356125356125,activities_incomplete,grades_between_0_2_5,activities_complete_majority,activities_incomplete_majority,grades_average,grades_below_5,grades_below_mean,grades_between_7_5_10,attendance_below_mean,missing
turma_1,1.0,"random (n=10, test=33%)",anova (10),naive_bayes,0.7157142857142857,0.5955284552845529,0.4592476489028213,0.846820809248555,activities_incomplete,grades_between_0_2_5,activities_complete_majority,activities_incomplete_majority,grades_average,grades_below_5,grades_below_mean,grades_between_7_5_10,attendance_below_mean,missing
turma_1,1.0,"random (n=10, test=33%)",anova (10),logistic_regression,0.8121428571428572,0.6056971514242878,0.6121212121212121,0.599406528189911,activities_incomplete,grades_between_0_2_5,activities_complete_majority,activities_incomplete_majority,grades_average,grades_below_5,grades_below_mean,grades_between_7_5_10,attendance_below_mean,missing
turma_1,1.0,"random (n=10, test=33%)",anova (10),neural_network,0.8157142857142857,0.6217008797653959,0.6127167630057804,0.6309523809523809,activities_incomplete,grades_between_0_2_5,activities_complete_majority,activities_incomplete_majority,grades_average,grades_below_5,grades_below_mean,grades_between_7_5_10,attendance_below_mean,missing
turma_1,1.0,"random (n=10, test=33%)",anova (10),gradient_boosting,0.8164285714285714,0.5965463108320253,0.6643356643356644,0.5413105413105413,activities_incomplete,grades_between_0_2_5,activities_complete_majority,activities_incomplete_majority,grades_average,grades_below_5,grades_below_mean,grades_between_7_5_10,attendance_below_mean,missing
turma_1,1.0,"random (n=10, test=33%)",anova (10),svm,0.8014285714285714,0.5255972696245735,0.6111111111111112,0.46107784431137727,activities_incomplete,grades_between_0_2_5,activities_complete_majority,activities_incomplete_majority,grades_average,grades_below_5,grades_below_mean,grades_between_7_5_10,attendance_below_mean,missing
turma_1,1.0,holdout (33/67),anova (10),random_forest,0.823076923076923,0.6349206349206349,0.6060606060606061,0.6666666666666666,grades_between_0_2_5,activities_incomplete_majority,activities_complete_majority,activities_incomplete,grades_average,grades_below_5,grades_below_mean,grades_between_7_5_10,attendance_below_mean,grades_between_5_7_5
turma_1,1.0,holdout (33/67),anova (10),knn,0.7692307692307693,0.5714285714285715,0.5,0.6666666666666666,grades_between_0_2_5,activities_incomplete_majority,activities_complete_majority,activities_incomplete,grades_average,grades_below_5,grades_below_mean,grades_between_7_5_10,attendance_below_mean,grades_between_5_7_5
turma_1,1.0,holdout (33/67),anova (10),tree,0.8461538461538461,0.5,1.0,0.3333333333333333,grades_between_0_2_5,activities_incomplete_majority,activities_complete_majority,activities_incomplete,grades_average,grades_below_5,grades_below_mean,grades_between_7_5_10,attendance_below_mean,grades_between_5_7_5
turma_1,1.0,holdout (33/67),anova (10),naive_bayes,0.6923076923076923,0.5,0.4,0.6666666666666666,grades_between_0_2_5,activities_incomplete_majority,activities_complete_majority,activities_incomplete,grades_average,grades_below_5,grades_below_mean,grades_between_7_5_10,attendance_below_mean,grades_between_5_7_5
turma_1,1.0,holdout (33/67),anova (10),logistic_regression,0.6153846153846154,0.4444444444444444,0.3333333333333333,0.6666666666666666,grades_between_0_2_5,activities_incomplete_majority,activities_complete_majority,activities_incomplete,grades_average,grades_below_5,grades_below_mean,grades_between_7_5_10,attendance_below_mean,grades_between_5_7_5
turma_1,1.0,holdout (33/67),anova (10),neural_network,0.7769230769230769,0.5915492957746479,0.5121951219512195,0.7,grades_between_0_2_5,activities_incomplete_majority,activities_complete_majority,activities_incomplete,grades_average,grades_below_5,grades_below_mean,grades_between_7_5_10,attendance_below_mean,grades_between_5_7_5
turma_1,1.0,holdout (33/67),anova (10),gradient_boosting,0.8461538461538461,0.6666666666666666,0.6666666666666666,0.6666666666666666,grades_between_0_2_5,activities_incomplete_majority,activities_complete_majority,activities_incomplete,grades_average,grades_below_5,grades_below_mean,grades_between_7_5_10,attendance_below_mean,grades_between_5_7_5
turma_1,1.0,holdout (33/67),anova (10),svm,0.8461538461538461,0.6666666666666666,0.6666666666666666,0.6666666666666666,grades_between_0_2_5,activities_incomplete_majority,activities_complete_majority,activities_incomplete,grades_average,grades_below_5,grades_below_mean,grades_between_7_5_10,attendance_below_mean,grades_between_5_7_5
turma_1,1.0,xvalidation (k=10),chi2 (5),random_forest,0.8975609756097561,0.7692307692307692,0.8536585365853658,0.7,grades_between_0_2_5,activities_incomplete_majority,activities_complete_majority,grades_below_5,grades_average,,,,,
turma_1,1.0,xvalidation (k=10),chi2 (5),knn,0.8536585365853658,0.6666666666666665,0.75,0.6,grades_between_0_2_5,activities_incomplete_majority,activities_complete_majority,grades_below_5,grades_average,,,,,
turma_1,1.0,xvalidation (k=10),chi2 (5),tree,0.926829268292683,0.8421052631578948,0.8888888888888888,0.8,grades_between_0_2_5,activities_incomplete_majority,activities_complete_majority,grades_below_5,grades_average,,,,,
turma_1,1.0,xvalidation (k=10),chi2 (5),naive_bayes,0.8536585365853658,0.7272727272727272,0.6666666666666666,0.8,grades_between_0_2_5,activities_incomplete_majority,activities_complete_majority,grades_below_5,grades_average,,,,,
turma_1,1.0,xvalidation (k=10),chi2 (5),logistic_regression,0.8780487804878049,0.7368421052631577,0.7777777777777778,0.7,grades_between_0_2_5,activities_incomplete_majority,activities_complete_majority,grades_below_5,grades_average,,,,,
turma_1,1.0,xvalidation (k=10),chi2 (5),neural_network,0.8585365853658536,0.6947368421052631,0.7333333333333333,0.66,grades_between_0_2_5,activities_incomplete_majority,activities_complete_majority,grades_below_5,grades_average,,,,,
turma_1,1.0,xvalidation (k=10),chi2 (5),gradient_boosting,0.9365853658536586,0.853932584269663,0.9743589743589743,0.76,grades_between_0_2_5,activities_incomplete_majority,activities_complete_majority,grades_below_5,grades_average,,,,,
turma_1,1.0,xvalidation (k=10),chi2 (5),svm,0.8536585365853658,0.7272727272727272,0.6666666666666666,0.8,grades_between_0_2_5,activities_incomplete_majority,activities_complete_majority,grades_below_5,grades_average,,,,,
turma_1,1.0,"random (n=10, test=33%)",chi2 (5),random_forest,0.865,0.7191679049034175,0.7469135802469136,0.6934097421203438,grades_between_0_2_5,activities_incomplete_majority,activities_complete_majority,grades_below_5,grades_average,,,,,
turma_1,1.0,"random (n=10, test=33%)",chi2 (5),knn,0.8528571428571429,0.6869300911854104,0.6666666666666666,0.7084639498432602,grades_between_0_2_5,activities_incomplete_majority,activities_complete_majority,grades_below_5,grades_average,,,,,
turma_1,1.0,"random (n=10, test=33%)",chi2 (5),tree,0.865,0.72,0.7063953488372093,0.7341389728096677,grades_between_0_2_5,activities_incomplete_majority,activities_complete_majority,grades_below_5,grades_average,,,,,
turma_1,1.0,"random (n=10, test=33%)",chi2 (5),naive_bayes,0.7857142857142857,0.6368038740920098,0.5411522633744856,0.7735294117647059,grades_between_0_2_5,activities_incomplete_majority,activities_complete_majority,grades_below_5,grades_average,,,,,
turma_1,1.0,"random (n=10, test=33%)",chi2 (5),logistic_regression,0.8642857142857143,0.702194357366771,0.717948717948718,0.6871165644171779,grades_between_0_2_5,activities_incomplete_majority,activities_complete_majority,grades_below_5,grades_average,,,,,
turma_1,1.0,"random (n=10, test=33%)",chi2 (5),neural_network,0.8535714285714285,0.7140864714086472,0.7420289855072464,0.6881720430107527,grades_between_0_2_5,activities_incomplete_majority,activities_complete_majority,grades_below_5,grades_average,,,,,
turma_1,1.0,"random (n=10, test=33%)",chi2 (5),gradient_boosting,0.885,0.7663280116110305,0.8380952380952381,0.7058823529411765,grades_between_0_2_5,activities_incomplete_majority,activities_complete_majority,grades_below_5,grades_average,,,,,
turma_1,1.0,"random (n=10, test=33%)",chi2 (5),svm,0.8371428571428572,0.6545454545454545,0.6506024096385542,0.6585365853658537,grades_between_0_2_5,activities_incomplete_majority,activities_complete_majority,grades_below_5,grades_average,,,,,
turma_1,1.0,holdout (33/67),chi2 (5),random_forest,0.8076923076923077,0.6153846153846153,0.5714285714285714,0.6666666666666666,activities_incomplete_majority,activities_complete_majority,grades_below_mean,grades_average,grades_between_5_7_5,,,,,
turma_1,1.0,holdout (33/67),chi2 (5),knn,0.7692307692307693,0.5714285714285715,0.5,0.6666666666666666,activities_incomplete_majority,activities_complete_majority,grades_below_mean,grades_average,grades_between_5_7_5,,,,,
turma_1,1.0,holdout (33/67),chi2 (5),tree,0.8461538461538461,0.5,1.0,0.3333333333333333,activities_incomplete_majority,activities_complete_majority,grades_below_mean,grades_average,grades_between_5_7_5,,,,,
turma_1,1.0,holdout (33/67),chi2 (5),naive_bayes,0.6923076923076923,0.5,0.4,0.6666666666666666,activities_incomplete_majority,activities_complete_majority,grades_below_mean,grades_average,grades_between_5_7_5,,,,,
turma_1,1.0,holdout (33/67),chi2 (5),logistic_regression,0.6153846153846154,0.4444444444444444,0.3333333333333333,0.6666666666666666,activities_incomplete_majority,activities_complete_majority,grades_below_mean,grades_average,grades_between_5_7_5,,,,,
turma_1,1.0,holdout (33/67),chi2 (5),neural_network,0.7692307692307693,0.5714285714285715,0.5,0.6666666666666666,activities_incomplete_majority,activities_complete_majority,grades_below_mean,grades_average,grades_between_5_7_5,,,,,
turma_1,1.0,holdout (33/67),chi2 (5),gradient_boosting,0.8461538461538461,0.6666666666666666,0.6666666666666666,0.6666666666666666,activities_incomplete_majority,activities_complete_majority,grades_below_mean,grades_average,grades_between_5_7_5,,,,,
turma_1,1.0,holdout (33/67),chi2 (5),svm,0.8461538461538461,0.6666666666666666,0.6666666666666666,0.6666666666666666,activities_incomplete_majority,activities_complete_majority,grades_below_mean,grades_average,grades_between_5_7_5,,,,,
turma_1,1.0,xvalidation (k=10),chi2 (10),random_forest,0.8536585365853658,0.6774193548387097,0.7325581395348837,0.63,grades_between_0_2_5,activities_incomplete_majority,activities_complete_majority,grades_below_5,grades_average,grades_below_mean,partial_presence,grades_between_5_7_5,activities_incomplete,attendance_below_mean
turma_1,1.0,xvalidation (k=10),chi2 (10),knn,0.8536585365853658,0.6666666666666665,0.75,0.6,grades_between_0_2_5,activities_incomplete_majority,activities_complete_majority,grades_below_5,grades_average,grades_below_mean,partial_presence,grades_between_5_7_5,activities_incomplete,attendance_below_mean
turma_1,1.0,xvalidation (k=10),chi2 (10),tree,0.8048780487804879,0.6,0.6,0.6,grades_between_0_2_5,activities_incomplete_majority,activities_complete_majority,grades_below_5,grades_average,grades_below_mean,partial_presence,grades_between_5_7_5,activities_incomplete,attendance_below_mean
turma_1,1.0,xvalidation (k=10),chi2 (10),naive_bayes,0.7804878048780488,0.64,0.5333333333333333,0.8,grades_between_0_2_5,activities_incomplete_majority,activities_complete_majority,grades_below_5,grades_average,grades_below_mean,partial_presence,grades_between_5_7_5,activities_incomplete,attendance_below_mean
turma_1,1.0,xvalidation (k=10),chi2 (10),logistic_regression,0.8048780487804879,0.6363636363636365,0.5833333333333334,0.7,grades_between_0_2_5,activities_incomplete_majority,activities_complete_majority,grades_below_5,grades_average,grades_below_mean,partial_presence,grades_between_5_7_5,activities_incomplete,attendance_below_mean
turma_1,1.0,xvalidation (k=10),chi2 (10),neural_network,0.7902439024390244,0.5,0.5972222222222222,0.43,grades_between_0_2_5,activities_incomplete_majority,activities_complete_majority,grades_below_5,grades_average,grades_below_mean,partial_presence,grades_between_5_7_5,activities_incomplete,attendance_below_mean
turma_1,1.0,xvalidation (k=10),chi2 (10),gradient_boosting,0.8536585365853658,0.7272727272727272,0.6666666666666666,0.8,grades_between_0_2_5,activities_incomplete_majority,activities_complete_majority,grades_below_5,grades_average,grades_below_mean,partial_presence,grades_between_5_7_5,activities_incomplete,attendance_below_mean
turma_1,1.0,xvalidation (k=10),chi2 (10),svm,0.7317073170731707,0.3529411764705882,0.42857142857142855,0.3,grades_between_0_2_5,activities_incomplete_majority,activities_complete_majority,grades_below_5,grades_average,grades_below_mean,partial_presence,grades_between_5_7_5,activities_incomplete,attendance_below_mean
turma_1,1.0,"random (n=10, test=33%)",chi2 (10),random_forest,0.8585714285714285,0.6876971608832808,0.7440273037542662,0.6392961876832844,grades_between_0_2_5,activities_incomplete_majority,activities_complete_majority,grades_below_5,grades_average,grades_below_mean,partial_presence,grades_between_5_7_5,activities_incomplete,attendance_below_mean
turma_1,1.0,"random (n=10, test=33%)",chi2 (10),knn,0.835,0.6515837104072398,0.6792452830188679,0.6260869565217392,grades_between_0_2_5,activities_incomplete_majority,activities_complete_majority,grades_below_5,grades_average,grades_below_mean,partial_presence,grades_between_5_7_5,activities_incomplete,attendance_below_mean
turma_1,1.0,"random (n=10, test=33%)",chi2 (10),tree,0.8157142857142857,0.6345609065155807,0.6436781609195402,0.6256983240223464,grades_between_0_2_5,activities_incomplete_majority,activities_complete_majority,grades_below_5,grades_average,grades_below_mean,partial_presence,grades_between_5_7_5,activities_incomplete,attendance_below_mean
turma_1,1.0,"random (n=10, test=33%)",chi2 (10),naive_bayes,0.7685714285714286,0.6359550561797753,0.5099099099099099,0.844776119402985,grades_between_0_2_5,activities_incomplete_majority,activities_complete_majority,grades_below_5,grades_average,grades_below_mean,partial_presence,grades_between_5_7_5,activities_incomplete,attendance_below_mean
turma_1,1.0,"random (n=10, test=33%)",chi2 (10),logistic_regression,0.8264285714285714,0.6473149492017417,0.6716867469879518,0.6246498599439776,grades_between_0_2_5,activities_incomplete_majority,activities_complete_majority,grades_below_5,grades_average,grades_below_mean,partial_presence,grades_between_5_7_5,activities_incomplete,attendance_below_mean
turma_1,1.0,"random (n=10, test=33%)",chi2 (10),neural_network,0.8092857142857143,0.5997001499250375,0.6024096385542169,0.5970149253731343,grades_between_0_2_5,activities_incomplete_majority,activities_complete_majority,grades_below_5,grades_average,grades_below_mean,partial_presence,grades_between_5_7_5,activities_incomplete,attendance_below_mean
turma_1,1.0,"random (n=10, test=33%)",chi2 (10),gradient_boosting,0.8214285714285714,0.647887323943662,0.6666666666666666,0.6301369863013698,grades_between_0_2_5,activities_incomplete_majority,activities_complete_majority,grades_below_5,grades_average,grades_below_mean,partial_presence,grades_between_5_7_5,activities_incomplete,attendance_below_mean
turma_1,1.0,"random (n=10, test=33%)",chi2 (10),svm,0.7764285714285715,0.4826446280991735,0.5637065637065637,0.42196531791907516,grades_between_0_2_5,activities_incomplete_majority,activities_complete_majority,grades_below_5,grades_average,grades_below_mean,partial_presence,grades_between_5_7_5,activities_incomplete,attendance_below_mean
turma_1,1.0,holdout (33/67),chi2 (10),random_forest,0.8,0.606060606060606,0.5555555555555556,0.6666666666666666,activities_incomplete_majority,activities_complete_majority,grades_below_mean,grades_average,grades_between_5_7_5,activities_incomplete,grades_between_0_2_5,grades_between_7_5_10,grades_below_5,partial_presence
turma_1,1.0,holdout (33/67),chi2 (10),knn,0.7692307692307693,0.5714285714285715,0.5,0.6666666666666666,activities_incomplete_majority,activities_complete_majority,grades_below_mean,grades_average,grades_between_5_7_5,activities_incomplete,grades_between_0_2_5,grades_between_7_5_10,grades_below_5,partial_presence
turma_1,1.0,holdout (33/67),chi2 (10),tree,0.8461538461538461,0.5,1.0,0.3333333333333333,activities_incomplete_majority,activities_complete_majority,grades_below_mean,grades_average,grades_between_5_7_5,activities_incomplete,grades_between_0_2_5,grades_between_7_5_10,grades_below_5,partial_presence
turma_1,1.0,holdout (33/67),chi2 (10),naive_bayes,0.6923076923076923,0.5,0.4,0.6666666666666666,activities_incomplete_majority,activities_complete_majority,grades_below_mean,grades_average,grades_between_5_7_5,activities_incomplete,grades_between_0_2_5,grades_between_7_5_10,grades_below_5,partial_presence
turma_1,1.0,holdout (33/67),chi2 (10),logistic_regression,0.6153846153846154,0.4444444444444444,0.3333333333333333,0.6666666666666666,activities_incomplete_majority,activities_complete_majority,grades_below_mean,grades_average,grades_between_5_7_5,activities_incomplete,grades_between_0_2_5,grades_between_7_5_10,grades_below_5,partial_presence
