dataset ,ratio_evaluation ,evaluation_method         ,feature_selection ,learner             ,accuracy           ,f1_score             ,precision           ,recall               ,top 1                        ,top 2                                  ,top 3                                  ,top 4                                  ,top 5                                    ,top 6                                    ,top 7                                    ,top 8                                    ,top 9                                    ,top 10
turma   ,            1.0  ,xvalidation (k=10)        ,anova (5)         ,random_forest       ,0.8181818181818182 ,0.33609958506224075  ,0.400990099009901   ,0.2892857142857143   ,grades_below_5               ,grades_between_7_5_10                  ,grades_average                         ,grades_between_0_2_5                   ,grades_below_mean                        ,                                         ,                                         ,                                         ,                                         ,
turma   ,            1.0  ,xvalidation (k=10)        ,anova (5)         ,knn                 ,0.8238636363636364 ,0.4150943396226415   ,0.44                ,0.39285714285714285  ,grades_below_5               ,grades_between_7_5_10                  ,grades_average                         ,grades_between_0_2_5                   ,grades_below_mean                        ,                                         ,                                         ,                                         ,                                         ,
turma   ,            1.0  ,xvalidation (k=10)        ,anova (5)         ,tree                ,0.8238636363636364 ,0.3404255319148936   ,0.42105263157894735 ,0.2857142857142857   ,grades_below_5               ,grades_between_7_5_10                  ,grades_average                         ,grades_between_0_2_5                   ,grades_below_mean                        ,                                         ,                                         ,                                         ,                                         ,
turma   ,            1.0  ,xvalidation (k=10)        ,anova (5)         ,naive_bayes         ,0.7784090909090909 ,0.5411764705882353   ,0.40350877192982454 ,0.8214285714285714   ,grades_below_5               ,grades_between_7_5_10                  ,grades_average                         ,grades_between_0_2_5                   ,grades_below_mean                        ,                                         ,                                         ,                                         ,                                         ,
turma   ,            1.0  ,xvalidation (k=10)        ,anova (5)         ,logistic_regression ,0.8579545454545454 ,0.5762711864406779   ,0.5483870967741935  ,0.6071428571428571   ,grades_below_5               ,grades_between_7_5_10                  ,grades_average                         ,grades_between_0_2_5                   ,grades_below_mean                        ,                                         ,                                         ,                                         ,                                         ,
turma   ,            1.0  ,xvalidation (k=10)        ,anova (5)         ,neural_network      ,0.81875            ,0.24941176470588233  ,0.36551724137931035 ,0.18928571428571428  ,grades_below_5               ,grades_between_7_5_10                  ,grades_average                         ,grades_between_0_2_5                   ,grades_below_mean                        ,                                         ,                                         ,                                         ,                                         ,
turma   ,            1.0  ,xvalidation (k=10)        ,anova (5)         ,gradient_boosting   ,0.7982954545454546 ,0.3603603603603604   ,0.36363636363636365 ,0.35714285714285715  ,grades_below_5               ,grades_between_7_5_10                  ,grades_average                         ,grades_between_0_2_5                   ,grades_below_mean                        ,                                         ,                                         ,                                         ,                                         ,
turma   ,            1.0  ,xvalidation (k=10)        ,anova (5)         ,svm                 ,0.8181818181818182 ,-1.0                 ,0.0                 ,0.0                  ,grades_below_5               ,grades_between_7_5_10                  ,grades_average                         ,grades_between_0_2_5                   ,grades_below_mean                        ,                                         ,                                         ,                                         ,                                         ,
turma   ,            1.0  ,"random (n=10, test=33%)" ,anova (5)         ,random_forest       ,0.8205084745762712 ,0.40738668158925573  ,0.4348864994026284  ,0.3831578947368421   ,grades_below_5               ,grades_between_7_5_10                  ,grades_average                         ,grades_between_0_2_5                   ,grades_below_mean                        ,                                         ,                                         ,                                         ,                                         ,
turma   ,            1.0  ,"random (n=10, test=33%)" ,anova (5)         ,knn                 ,0.8161016949152542 ,0.3710144927536232   ,0.3950617283950617  ,0.34972677595628415  ,grades_below_5               ,grades_between_7_5_10                  ,grades_average                         ,grades_between_0_2_5                   ,grades_below_mean                        ,                                         ,                                         ,                                         ,                                         ,
