dataset ,ratio_evaluation ,evaluation_method         ,feature_selection ,learner             ,accuracy           ,f1_score             ,precision           ,recall               ,top 1                       ,top 2                                  ,top 3                                  ,top 4                           ,top 5                                    ,top 6                                    ,top 7                                  ,top 8                                    ,top 9                                    ,top 10
turma   ,            1.0  ,xvalidation (k=10)        ,anova (5)         ,random_forest       ,0.8267045454545454 ,0.3887775551102204   ,0.4429223744292237  ,0.3464285714285714   ,grades_below_5              ,grades_between_7_5_10                  ,grades_average                         ,grades_between_0_2_5            ,grades_below_mean                        ,                                         ,                                       ,                                         ,                                         ,
turma   ,            1.0  ,xvalidation (k=10)        ,anova (5)         ,knn                 ,0.8238636363636364 ,0.4150943396226415   ,0.44                ,0.39285714285714285  ,grades_below_5              ,grades_between_7_5_10                  ,grades_average                         ,grades_between_0_2_5            ,grades_below_mean                        ,                                         ,                                       ,                                         ,                                         ,
turma   ,            1.0  ,xvalidation (k=10)        ,anova (5)         ,tree                ,0.8238636363636364 ,0.3404255319148936   ,0.42105263157894735 ,0.2857142857142857   ,grades_below_5              ,grades_between_7_5_10                  ,grades_average                         ,grades_between_0_2_5            ,grades_below_mean                        ,                                         ,                                       ,                                         ,                                         ,
turma   ,            1.0  ,xvalidation (k=10)        ,anova (5)         ,naive_bayes         ,0.7784090909090909 ,0.5411764705882353   ,0.40350877192982454 ,0.8214285714285714   ,grades_below_5              ,grades_between_7_5_10                  ,grades_average                         ,grades_between_0_2_5            ,grades_below_mean                        ,                                         ,                                       ,                                         ,                                         ,
turma   ,            1.0  ,xvalidation (k=10)        ,anova (5)         ,logistic_regression ,0.8579545454545454 ,0.5762711864406779   ,0.5483870967741935  ,0.6071428571428571   ,grades_below_5              ,grades_between_7_5_10                  ,grades_average                         ,grades_between_0_2_5            ,grades_below_mean                        ,                                         ,                                       ,                                         ,                                         ,
turma   ,            1.0  ,xvalidation (k=10)        ,anova (5)         ,neural_network      ,0.8147727272727273 ,0.20098039215686275  ,0.3203125           ,0.14642857142857144  ,grades_below_5              ,grades_between_7_5_10                  ,grades_average                         ,grades_between_0_2_5            ,grades_below_mean                        ,                                         ,                                       ,                                         ,                                         ,
turma   ,            1.0  ,xvalidation (k=10)        ,anova (5)         ,gradient_boosting   ,0.8                ,0.3623188405797101   ,0.36764705882352944 ,0.35714285714285715  ,grades_below_5              ,grades_between_7_5_10                  ,grades_average                         ,grades_between_0_2_5            ,grades_below_mean                        ,                                         ,                                       ,                                         ,                                         ,
turma   ,            1.0  ,xvalidation (k=10)        ,anova (5)         ,svm                 ,0.8181818181818182 ,-1.0                 ,0.0                 ,0.0                  ,grades_below_5              ,grades_between_7_5_10                  ,grades_average                         ,grades_between_0_2_5            ,grades_below_mean                        ,                                         ,                                       ,                                         ,                                         ,
turma   ,            1.0  ,"random (n=10, test=33%)" ,anova (5)         ,random_forest       ,0.8216949152542373 ,0.38837209302325576  ,0.41490683229813663 ,0.3650273224043716   ,grades_below_5              ,grades_between_7_5_10                  ,grades_average                         ,grades_between_0_2_5            ,grades_below_mean                        ,                                         ,                                       ,                                         ,                                         ,
turma   ,            1.0  ,"random (n=10, test=33%)" ,anova (5)         ,knn                 ,0.8140677966101695 ,0.3535651149086623   ,0.39577836411609496 ,0.3194888178913738   ,grades_below_5              ,grades_between_7_5_10                  ,grades_average                         ,grades_between_0_2_5            ,grades_below_mean                        ,                                         ,                                       ,                                         ,                                         ,
