dataset ,ratio_evaluation ,evaluation_method         ,feature_selection ,learner             ,accuracy           ,f1_score             ,precision           ,recall               ,top 1                        ,top 2                                  ,top 3                                  ,top 4                                  ,top 5                                    ,top 6                                    ,top 7                                    ,top 8                                    ,top 9                                    ,top 10
turma   ,            1.0  ,xvalidation (k=10)        ,anova (5)         ,random_forest       ,0.821590909090909  ,0.3794466403162055   ,0.4247787610619469  ,0.34285714285714286  ,grades_below_5               ,grades_between_7_5_10                  ,grades_average                         ,grades_between_0_2_5                   ,grades_below_mean                        ,                                         ,                                         ,                                         ,                                         ,
turma   ,            1.0  ,xvalidation (k=10)        ,anova (5)         ,knn                 ,0.8238636363636364 ,0.4150943396226415   ,0.44                ,0.39285714285714285  ,grades_below_5               ,grades_between_7_5_10                  ,grades_average                         ,grades_between_0_2_5                   ,grades_below_mean                        ,                                         ,                                         ,                                         ,                                         ,
turma   ,            1.0  ,xvalidation (k=10)        ,anova (5)         ,tree                ,0.8238636363636364 ,0.3404255319148936   ,0.42105263157894735 ,0.2857142857142857   ,grades_below_5               ,grades_between_7_5_10                  ,grades_average                         ,grades_between_0_2_5                   ,grades_below_mean                        ,                                         ,                                         ,                                         ,                                         ,
turma   ,            1.0  ,xvalidation (k=10)        ,anova (5)         ,naive_bayes         ,0.7784090909090909 ,0.5411764705882353   ,0.40350877192982454 ,0.8214285714285714   ,grades_below_5               ,grades_between_7_5_10                  ,grades_average                         ,grades_between_0_2_5                   ,grades_below_mean                        ,                                         ,                                         ,                                         ,                                         ,
turma   ,            1.0  ,xvalidation (k=10)        ,anova (5)         ,logistic_regression ,0.8579545454545454 ,0.5762711864406779   ,0.5483870967741935  ,0.6071428571428571   ,grades_below_5               ,grades_between_7_5_10                  ,grades_average                         ,grades_between_0_2_5                   ,grades_below_mean                        ,                                         ,                                         ,                                         ,                                         ,
turma   ,            1.0  ,xvalidation (k=10)        ,anova (5)         ,neural_network      ,0.821590909090909  ,0.26291079812206575  ,0.3835616438356164  ,0.2                  ,grades_below_5               ,grades_between_7_5_10                  ,grades_average                         ,grades_between_0_2_5                   ,grades_below_mean                        ,                                         ,                                         ,                                         ,                                         ,
turma   ,            1.0  ,xvalidation (k=10)        ,anova (5)         ,gradient_boosting   ,0.8                ,0.3623188405797101   ,0.36764705882352944 ,0.35714285714285715  ,grades_below_5               ,grades_between_7_5_10                  ,grades_average                         ,grades_between_0_2_5                   ,grades_below_mean                        ,                                         ,                                         ,                                         ,                                         ,
turma   ,            1.0  ,xvalidation (k=10)        ,anova (5)         ,svm                 ,0.8181818181818182 ,-1.0                 ,0.0                 ,0.0                  ,grades_below_5               ,grades_between_7_5_10                  ,grades_average                         ,grades_between_0_2_5                   ,grades_below_mean                        ,                                         ,                                         ,                                         ,                                         ,
turma   ,            1.0  ,"random (n=10, test=33%)" ,anova (5)         ,random_forest       ,0.8142372881355933 ,0.3897550111358575   ,0.4132231404958678  ,0.36880927291886195  ,grades_below_5               ,grades_between_7_5_10                  ,grades_average                         ,grades_between_0_2_5                   ,grades_below_mean                        ,                                         ,                                         ,                                         ,                                         ,
turma   ,            1.0  ,"random (n=10, test=33%)" ,anova (5)         ,knn                 ,0.8159322033898305 ,0.3626760563380282   ,0.4103585657370518  ,0.3249211356466877   ,grades_below_5               ,grades_between_7_5_10                  ,grades_average                         ,grades_between_0_2_5                   ,grades_below_mean                        ,                                         ,                                         ,                                         ,                                         ,
turma   ,            1.0  ,"random (n=10, test=33%)" ,anova (5)         ,tree                ,0.8259322033898305 ,0.4161455372370665   ,0.45073891625615764 ,0.3864836325237592   ,grades_below_5               ,grades_between_7_5_10                  ,grades_average                         ,grades_between_0_2_5                   ,grades_below_mean                        ,                                         ,                                         ,                                         ,                                         ,
turma   ,            1.0  ,"random (n=10, test=33%)" ,anova (5)         ,naive_bayes         ,0.7933898305084746 ,0.5562431743720422   ,0.4209366391184573  ,0.8197424892703863   ,grades_below_5               ,grades_between_7_5_10                  ,grades_average                         ,grades_between_0_2_5                   ,grades_below_mean                        ,                                         ,                                         ,                                         ,                                         ,
turma   ,            1.0  ,"random (n=10, test=33%)" ,anova (5)         ,logistic_regression ,0.85               ,0.5274959957287774   ,0.5311827956989247  ,0.5238600212089077   ,grades_below_5               ,grades_between_7_5_10                  ,grades_average                         ,grades_between_0_2_5                   ,grades_below_mean                        ,                                         ,                                         ,                                         ,                                         ,
turma   ,            1.0  ,"random (n=10, test=33%)" ,anova (5)         ,neural_network      ,0.8286440677966102 ,0.2974287699791522   ,0.42714570858283435 ,0.2281449893390192   ,grades_below_5               ,grades_between_7_5_10                  ,grades_average                         ,grades_between_0_2_5                   ,grades_below_mean                        ,                                         ,                                         ,                                         ,                                         ,
turma   ,            1.0  ,"random (n=10, test=33%)" ,anova (5)         ,gradient_boosting   ,0.8227118644067797 ,0.41824249165739713  ,0.42873432155074115 ,0.40825190010857765  ,grades_below_5               ,grades_between_7_5_10                  ,grades_average                         ,grades_between_0_2_5                   ,grades_below_mean                        ,                                         ,                                         ,                                         ,                                         ,
turma   ,            1.0  ,"random (n=10, test=33%)" ,anova (5)         ,svm                 ,0.8225423728813559 ,0.16706443914081145  ,0.33980582524271846 ,0.11075949367088607  ,grades_below_5               ,grades_between_7_5_10                  ,grades_average                         ,grades_between_0_2_5                   ,grades_below_mean                        ,                                         ,                                         ,                                         ,                                         ,
turma   ,            1.0  ,holdout (33/67)           ,anova (5)         ,random_forest       ,0.9137931034482759 ,0.782608695652174    ,0.6428571428571429  ,1.0                  ,grades_between_7_5_10        ,grades_below_5                         ,grades_average                         ,grades_between_0_2_5                   ,grades_below_mean                        ,                                         ,                                         ,                                         ,                                         ,
turma   ,            1.0  ,holdout (33/67)           ,anova (5)         ,knn                 ,0.9310344827586207 ,0.7999999999999999   ,0.7272727272727273  ,0.8888888888888888   ,grades_between_7_5_10        ,grades_below_5                         ,grades_average                         ,grades_between_0_2_5                   ,grades_below_mean                        ,                                         ,                                         ,                                         ,                                         ,
turma   ,            1.0  ,holdout (33/67)           ,anova (5)         ,tree                ,0.9655172413793104 ,0.9                  ,0.8181818181818182  ,1.0                  ,grades_between_7_5_10        ,grades_below_5                         ,grades_average                         ,grades_between_0_2_5                   ,grades_below_mean                        ,                                         ,                                         ,                                         ,                                         ,
turma   ,            1.0  ,holdout (33/67)           ,anova (5)         ,naive_bayes         ,0.603448275862069  ,0.43902439024390244  ,0.28125             ,1.0                  ,grades_between_7_5_10        ,grades_below_5                         ,grades_average                         ,grades_between_0_2_5                   ,grades_below_mean                        ,                                         ,                                         ,                                         ,                                         ,
turma   ,            1.0  ,holdout (33/67)           ,anova (5)         ,logistic_regression ,0.8448275862068966 ,0.64                 ,0.5                 ,0.8888888888888888   ,grades_between_7_5_10        ,grades_below_5                         ,grades_average                         ,grades_between_0_2_5                   ,grades_below_mean                        ,                                         ,                                         ,                                         ,                                         ,
turma   ,            1.0  ,holdout (33/67)           ,anova (5)         ,neural_network      ,0.8310344827586207 ,0.6474820143884892   ,0.4787234042553192  ,1.0                  ,grades_between_7_5_10        ,grades_below_5                         ,grades_average                         ,grades_between_0_2_5                   ,grades_below_mean                        ,                                         ,                                         ,                                         ,                                         ,
turma   ,            1.0  ,holdout (33/67)           ,anova (5)         ,gradient_boosting   ,0.9655172413793104 ,0.9                  ,0.8181818181818182  ,1.0                  ,grades_between_7_5_10        ,grades_below_5                         ,grades_average                         ,grades_between_0_2_5                   ,grades_below_mean                        ,                                         ,                                         ,                                         ,                                         ,
turma   ,            1.0  ,holdout (33/67)           ,anova (5)         ,svm                 ,0.8620689655172413 ,0.6923076923076924   ,0.5294117647058824  ,1.0                  ,grades_between_7_5_10        ,grades_below_5                         ,grades_average                         ,grades_between_0_2_5                   ,grades_below_mean                        ,                                         ,                                         ,                                         ,                                         ,
turma   ,            1.0  ,xvalidation (k=10)        ,anova (10)        ,random_forest       ,0.8238636363636364 ,0.3673469387755102   ,0.42857142857142855 ,0.32142857142857145  ,grades_below_5               ,grades_between_7_5_10                  ,grades_average                         ,grades_between_0_2_5                   ,grades_below_mean                        ,important_grades_below_mean              ,important_activities_complete_majority   ,important_activities_complete_minority   ,important_activities_incomplete          ,important_activities_incomplete_majority
turma   ,            1.0  ,xvalidation (k=10)        ,anova (10)        ,knn                 ,0.8238636363636364 ,0.4150943396226415   ,0.44                ,0.39285714285714285  ,grades_below_5               ,grades_between_7_5_10                  ,grades_average                         ,grades_between_0_2_5                   ,grades_below_mean                        ,important_grades_below_mean              ,important_activities_complete_majority   ,important_activities_complete_minority   ,important_activities_incomplete          ,important_activities_incomplete_majority
